model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore,trainAccuracy,trainPrecision,trainRecall,trainF1,trainRocauc,trainCohenkappascore
BaggingClassifier,"{'estimator': DecisionTreeClassifier(max_depth=2), 'n_estimators': 10, 'max_samples': 0.5, 'max_features': 0.5, 'bootstrap': True}",2,0.7960057061340942,0.7216494845360825,0.3763440860215054,0.4946996466431095,0.6619584507777431,0.38235602191017815,0.7945791726105563,0.728021978021978,0.35714285714285715,0.47920433996383366,0.6545656089788001,0.36935816899956586
BernoulliNB,{'alpha': 0.0},1,0.6904422253922967,0.45288753799392095,0.8010752688172043,0.5786407766990291,0.725780352855204,0.3625323203158066,0.7100570613409415,0.47265625,0.8142664872139973,0.5981216015818092,0.7433777850917148,0.39538384664593684
BernoulliNB,{'alpha': 0.0},2,0.7004279600570613,0.46214511041009465,0.7876344086021505,0.5825049701789264,0.728283223718551,0.37271762705653255,0.7414407988587732,0.5072340425531915,0.8032345013477089,0.6218049034950444,0.7612195785109058,0.4402142545589123
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': None}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'liblinear', 'max_iter': 100, 'class_weight': 'balanced'}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': None}",2,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.7353780313837375,0.0,0.0,0.0,0.5,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 0.001, 'solver': 'saga', 'max_iter': 100, 'class_weight': 'balanced'}",1,0.7346647646219686,0.0,0.0,0.0,0.5,0.0,0.735021398002853,0.0,0.0,0.0,0.5,0.0
