model,Parameter Set,Fold,testAccuracy,testPrecision,testRecall,testF1,testRocauc,testCohenkappascore
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.7881597717546363,0.616822429906542,0.532258064516129,0.5714285714285714,0.7064202943939869,0.43174727947137
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.7988587731811697,0.6380368098159509,0.5591397849462365,0.5959885386819485,0.7222883390750601,0.4628586023813534
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8009985734664765,0.6439628482972136,0.5591397849462365,0.5985611510791367,0.7237446497546717,0.4671438185043006
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.8052781740370899,0.6612377850162866,0.5456989247311828,0.5979381443298969,0.7223640254723874,0.4710165157902011
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}",noCrossVal,0.8024251069900142,0.6567656765676567,0.5349462365591398,0.5896296296296296,0.7169876813863659,0.4613062789387975
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",noCrossVal,0.7902995720399429,0.6266233766233766,0.5188172043010753,0.5676470588235294,0.703583359432091,0.4308430727083931
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",noCrossVal,0.7938659058487875,0.6334405144694534,0.5295698924731183,0.5768667642752563,0.7094451404113165,0.442043454671143
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",noCrossVal,0.7881597717546363,0.6190476190476191,0.5241935483870968,0.5676855895196506,0.7038443470090824,0.428669043130346
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",noCrossVal,0.8024251069900142,0.6557377049180327,0.5376344086021505,0.5908419497784343,0.7178463305146675,0.4622878457674382
RandomForestClassifier,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",noCrossVal,0.797432239657632,0.6419354838709678,0.5349462365591398,0.5835777126099707,0.7135896231339388,0.4511994089788897
